language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
eng,105,283,3.654,77.447,91,262,0.347,91,262,0.347,0,0,0.0,21,0.074
spa,108,285,3.675,77.561,87,267,0.326,3,6,0.5,84,261,0.315,18,0.063
spa,113,200,8.202,24.383,60,145,0.414,17,29,0.586,40,116,0.276,55,0.275
eng,137,591,5.552,106.444,142,522,0.272,142,522,0.272,0,0,0.0,69,0.117
eng,147,597,5.683,105.044,189,553,0.342,189,553,0.342,0,0,0.0,44,0.074
spa,151,295,6.242,47.262,104,278,0.374,3,3,1.0,101,275,0.363,17,0.058
spa,121,397,3.99,99.496,124,369,0.336,3,3,1.0,121,366,0.328,28,0.071
spa,122,256,6.254,40.931,74,216,0.343,37,58,0.638,37,158,0.171,40,0.156
eng,144,277,3.483,79.522,95,270,0.352,95,270,0.352,0,0,0.0,7,0.025
spa,110,338,3.431,98.524,98,304,0.322,1,1,1.0,97,303,0.319,34,0.101
eng,128,363,5.567,65.21,76,282,0.27,76,282,0.27,0,0,0.0,81,0.223
eng,106,152,4.1,37.073,51,128,0.398,51,128,0.398,0,0,0.0,24,0.158
eng,113,176,4.957,35.503,69,153,0.451,69,153,0.451,0,0,0.0,23,0.131
spa,105,272,5.934,45.836,97,254,0.382,0,0,0,97,254,0.382,18,0.066
eng,122,248,3.496,70.938,108,238,0.454,108,238,0.454,0,0,0.0,10,0.04
spa,147,838,11.352,73.821,195,689,0.283,0,0,0,195,689,0.283,149,0.178
spa,137,504,9.767,51.605,112,430,0.26,2,3,0.667,110,427,0.256,74,0.147
eng,138,275,3.625,75.862,105,261,0.402,105,261,0.402,0,0,0.0,14,0.051
eng,148,589,5.2,113.269,125,493,0.254,125,493,0.254,0,0,0.0,96,0.163
spa,132,248,3.389,73.182,75,211,0.355,0,0,0,75,211,0.355,37,0.149
spa,142,388,5.954,65.17,132,370,0.357,3,3,1.0,129,367,0.349,18,0.046
eng,154,485,8.05,60.248,153,441,0.347,153,441,0.347,0,0,0.0,44,0.091
spa,109,236,2.267,104.118,81,229,0.354,8,9,0.889,73,220,0.319,7,0.03
eng,131,459,5.6,81.964,140,398,0.352,140,398,0.352,0,0,0.0,61,0.133
spa,127,269,5.073,53.029,71,227,0.313,22,39,0.564,49,188,0.216,42,0.156
eng,103,351,4.61,76.142,127,323,0.393,127,323,0.393,0,0,0.0,28,0.08
spa,115,259,4.482,57.789,73,229,0.319,1,4,0.25,72,225,0.314,30,0.116
spa,217,377,3.68,102.452,142,350,0.406,2,2,1.0,140,348,0.4,27,0.072
spa,207,266,3.45,77.091,108,257,0.42,1,1,1.0,107,256,0.416,9,0.034
eng,211,381,4.273,89.172,141,371,0.38,141,371,0.38,0,0,0.0,10,0.026
eng,218,318,3.361,94.629,105,298,0.352,105,298,0.352,0,0,0.0,20,0.063
spa,212,740,7.577,97.669,212,704,0.301,0,0,0,212,704,0.301,36,0.049
spa,211,172,3.684,46.684,59,168,0.351,1,1,1.0,58,167,0.345,4,0.023
eng,207,416,4.392,94.728,118,351,0.336,118,351,0.336,0,0,0.0,65,0.156
spa,218,385,5.766,66.772,118,359,0.329,5,6,0.833,112,353,0.312,26,0.068
eng,217,298,3.061,97.342,130,292,0.445,130,292,0.445,0,0,0.0,6,0.02
spa,219,287,3.039,94.438,115,280,0.411,0,0,0,115,280,0.411,7,0.024
spa,213,210,3.613,58.117,93,209,0.445,0,0,0,93,209,0.445,1,0.005
spa,206,285,4.001,71.235,99,265,0.374,1,3,0.333,98,262,0.37,20,0.07
eng,210,270,4.8,56.25,61,240,0.254,58,208,0.279,3,32,0.013,30,0.111
eng,213,80,1.98,40.404,36,72,0.5,36,72,0.5,0,0,0.0,8,0.1
spa,219,296,4.173,70.939,115,275,0.418,26,32,0.812,87,243,0.316,21,0.071
spa,210,236,4.916,48.004,82,229,0.358,0,0,0,82,229,0.358,7,0.03
eng,206,282,3.867,72.931,91,265,0.343,91,265,0.343,0,0,0.0,17,0.06
eng,334,239,3.571,66.928,90,224,0.402,90,224,0.402,0,0,0.0,15,0.063
eng,303,374,5.95,62.857,130,353,0.368,130,353,0.368,0,0,0.0,21,0.056
eng,341,326,4.083,79.837,118,289,0.408,118,289,0.408,0,0,0.0,37,0.113
eng,331,329,4.2,78.333,102,315,0.324,102,315,0.324,0,0,0.0,14,0.043
eng,329,218,5.397,40.395,88,214,0.411,88,214,0.411,0,0,0.0,4,0.018
eng,324,235,3.367,69.802,69,200,0.345,69,200,0.345,0,0,0.0,35,0.149
eng,316,392,5.633,69.584,138,358,0.385,138,358,0.385,0,0,0.0,34,0.087
eng,338,192,4.283,44.825,70,179,0.391,70,179,0.391,0,0,0.0,13,0.068
eng,328,197,4.424,44.526,80,197,0.406,80,197,0.406,0,0,0.0,0,0.0
eng,315,561,6.654,84.308,183,497,0.368,183,497,0.368,0,0,0.0,64,0.114
eng,332,311,4.983,62.408,132,295,0.447,132,295,0.447,0,0,0.0,16,0.051
eng,319,346,4.323,80.035,140,341,0.411,140,341,0.411,0,0,0.0,5,0.014
eng,337,435,4.733,91.901,151,421,0.359,151,421,0.359,0,0,0.0,14,0.032
eng,310,280,5.805,48.236,106,267,0.397,106,267,0.397,0,0,0.0,13,0.046
eng,322,199,4.013,49.589,90,197,0.457,90,197,0.457,0,0,0.0,2,0.01
eng,317,181,4.53,39.956,69,155,0.445,69,155,0.445,0,0,0.0,26,0.144
eng,339,324,3.317,97.688,103,292,0.353,103,292,0.353,0,0,0.0,32,0.099
eng,325,294,6.0,49.0,111,271,0.41,111,271,0.41,0,0,0.0,23,0.078
eng,340,304,5.7,53.333,102,266,0.383,102,266,0.383,0,0,0.0,38,0.125
eng,302,619,9.019,68.63,214,577,0.371,214,577,0.371,0,0,0.0,42,0.068
eng,335,505,5.567,90.719,184,482,0.382,184,482,0.382,0,0,0.0,23,0.046
eng,307,199,3.25,61.229,71,197,0.36,71,197,0.36,0,0,0.0,2,0.01
eng,320,166,3.612,45.954,60,160,0.375,60,160,0.375,0,0,0.0,6,0.036
eng,323,260,4.611,56.383,104,236,0.441,104,236,0.441,0,0,0.0,24,0.092
eng,330,269,3.932,68.414,111,262,0.424,111,262,0.424,0,0,0.0,7,0.026
eng,326,133,3.922,33.91,64,128,0.5,64,128,0.5,0,0,0.0,5,0.038
eng,336,171,4.683,36.512,68,156,0.436,68,156,0.436,0,0,0.0,15,0.088
eng,301,202,4.058,49.782,71,187,0.38,71,187,0.38,0,0,0.0,15,0.074
eng,314,225,4.809,46.791,81,209,0.388,81,209,0.388,0,0,0.0,16,0.071
eng,416,782,6.106,128.078,213,732,0.291,213,732,0.291,0,0,0.0,50,0.064
eng,424,1733,13.965,124.093,527,1661,0.317,527,1661,0.317,0,0,0.0,72,0.042
eng,422,432,4.004,107.891,165,419,0.394,165,419,0.394,0,0,0.0,13,0.03
eng,419,630,6.941,90.771,211,581,0.363,211,581,0.363,0,0,0.0,49,0.078
eng,418,403,2.438,165.304,134,347,0.386,134,347,0.386,0,0,0.0,56,0.139
eng,420,617,5.899,104.594,217,580,0.374,217,580,0.374,0,0,0.0,37,0.06
eng,425,445,3.932,113.183,150,411,0.365,150,411,0.365,0,0,0.0,34,0.076
eng,417,524,6.449,81.259,165,472,0.35,165,472,0.35,0,0,0.0,52,0.099
eng,414,661,5.185,127.484,229,642,0.357,229,642,0.357,0,0,0.0,19,0.029
eng,421,243,2.976,81.665,77,220,0.35,77,220,0.35,0,0,0.0,23,0.095
eng,418,340,3.396,100.132,131,319,0.411,131,319,0.411,0,0,0.0,21,0.062
eng,423,283,5.652,50.073,115,283,0.406,115,283,0.406,0,0,0.0,0,0.0
eng,504,368,3.624,101.546,111,342,0.325,111,342,0.325,0,0,0.0,26,0.071
spa,512,381,7.166,53.168,81,274,0.296,4,4,1.0,77,270,0.281,107,0.281
eng,518,569,6.183,92.022,191,510,0.375,191,510,0.375,0,0,0.0,59,0.104
spa,507,594,7.796,76.194,159,486,0.327,29,33,0.879,130,453,0.267,108,0.182
eng,511,404,5.4,74.815,139,366,0.38,139,366,0.38,0,0,0.0,38,0.094
eng,508,220,3.6,61.111,96,219,0.438,96,219,0.438,0,0,0.0,1,0.005
eng,514,238,3.767,63.186,57,199,0.286,57,199,0.286,0,0,0.0,39,0.164
spa,502,228,5.481,41.596,76,227,0.335,0,0,0,76,227,0.335,1,0.004
spa,517,546,7.964,68.555,128,391,0.327,11,11,1.0,117,380,0.299,155,0.284
