estómago,NOUN,0,1,2,3,0,0,2,0,0
sabe,VERB,0,1,0,0,0,0,0,0,0
qué,PRON,0,1,0,0,2,0,1,0,0
ha,AUX,0,1,0,0,1,0,0,0,0
pasado,VERB,0,1,0,0,1,0,0,0,0
muy,ADV,0,3,0,1,3,0,4,0,2
pesado,ADJ,0,1,0,0,0,0,0,0,0
mucha,DET,0,1,0,0,0,0,0,0,0
sed,NOUN,0,1,0,0,1,0,0,0,0
va,VERB,0,1,0,0,0,0,0,0,3
al,ADV,0,1,0,0,0,0,0,0,0
tomar,VERB,0,1,0,1,1,1,0,0,0
cae,VERB,0,1,0,0,0,0,0,0,0
pozo,NOUN,0,1,0,0,1,0,0,0,0
quedan,VERB,0,1,0,0,0,0,0,0,0
contentas,ADJ,0,1,0,0,0,0,0,0,0
hasta,ADP,0,1,0,0,0,0,0,0,0
próxima,ADJ,0,1,0,0,0,0,0,0,0
venga,VERB,0,1,0,0,0,0,0,0,0
the,DET,28,24,40,23,0,17,20,29,37
story,NOUN,0,0,1,0,0,0,0,0,0
of,ADP,2,2,4,4,0,5,0,4,0
Red,ADJ,5,0,13,8,0,11,0,7,0
Riding,PROPN,7,0,14,8,0,12,0,8,0
Hood,PROPN,7,0,15,8,0,13,0,8,0
it,PRON,0,2,3,4,0,4,0,0,0
was,AUX,4,5,9,12,0,9,1,9,0
grandma,NOUN,1,13,15,6,0,5,0,9,10
today,NOUN,0,1,1,0,0,0,0,0,0
she,PRON,7,8,7,7,0,1,0,0,3
thinking,VERB,0,0,1,0,0,0,0,0,0
about,SCONJ,0,0,1,0,0,0,0,0,0
visiting,VERB,0,0,1,0,0,0,0,0,0
her,PRON,11,7,9,3,0,12,2,8,10
so,ADV,2,12,3,0,0,0,0,0,2
decided,VERB,2,0,1,0,0,0,0,0,0
to,PART,7,7,7,9,0,4,1,9,5
get,VERB,0,0,1,1,0,1,0,2,0
a,DET,5,7,7,9,0,3,0,2,4
picnic,NOUN,0,0,1,0,0,0,0,0,0
basket,NOUN,1,1,1,1,0,1,0,0,0
full,ADJ,0,0,2,1,0,1,0,2,0
ofgoodies,NOUN,0,0,1,0,0,0,0,0,0
and,CCONJ,14,27,17,32,0,16,0,16,18
said,VERB,1,5,1,2,0,0,0,0,0
bye,NOUN,0,0,1,0,0,0,0,0,1
to,ADP,5,5,6,4,0,3,0,3,4
mom,NOUN,2,2,1,1,0,0,0,0,1
as,SCONJ,0,0,1,0,0,1,0,0,0
walked,VERB,0,2,2,0,0,2,0,0,0
down,ADP,0,0,1,0,0,0,0,0,0
sandy,ADJ,0,0,1,0,0,0,0,0,0
road,NOUN,0,0,1,0,0,0,0,0,0
house,NOUN,2,2,3,3,0,2,0,1,1
wolf,NOUN,8,6,12,9,0,7,7,11,13
nearby,ADJ,0,0,1,0,0,0,0,0,0
there,PRON,0,0,2,0,0,1,0,0,0
was,VERB,0,0,2,1,0,0,0,0,0
in,ADP,5,4,2,1,0,6,1,2,6
forest,NOUN,1,2,2,0,0,2,0,1,0
who,PRON,4,0,3,2,0,1,0,0,0
hungry,ADJ,0,0,1,1,0,0,0,0,2
but,CCONJ,0,0,1,1,0,1,0,0,2
Little,ADJ,7,0,15,0,0,12,0,8,0
did,AUX,0,1,1,0,0,0,1,0,0
know,VERB,0,0,1,0,0,0,0,0,0
that,SCONJ,1,3,4,2,0,3,0,0,0
he,PRON,8,7,5,3,0,1,0,3,10
behind,ADP,0,0,1,0,0,0,1,1,0
hunter,NOUN,0,1,5,0,0,1,0,0,0
trying,VERB,0,0,1,1,0,1,0,0,1
catch,VERB,0,0,1,0,0,0,0,0,0
because,SCONJ,0,1,2,0,0,0,0,1,0
knew,VERB,0,0,1,0,0,0,0,0,0
would,AUX,2,0,1,0,0,0,0,0,0
be,AUX,0,1,1,0,0,0,0,0,0
chasing,VERB,0,0,1,0,0,0,0,0,0
after,ADP,0,0,1,0,0,0,0,0,1
arrived,VERB,1,1,1,0,0,1,0,0,0
before,ADP,0,1,1,0,0,0,0,0,0
Red,PROPN,2,0,2,0,0,2,0,1,0
because,ADV,0,0,1,0,0,0,0,0,0
had,AUX,1,0,1,0,0,7,0,0,0
stopped,VERB,0,0,1,0,0,0,0,0,0
pick,VERB,0,0,1,0,0,0,0,0,0
some,DET,1,3,1,0,0,1,2,0,0
flowers,NOUN,2,1,2,2,0,2,1,1,0
for,ADP,1,1,1,2,0,4,0,1,3
ate,VERB,1,3,2,0,0,0,0,1,0
got,VERB,2,3,2,4,0,0,0,0,0
into,ADP,1,1,4,0,0,0,0,0,0
bed,NOUN,2,1,3,2,0,1,0,1,2
put,VERB,2,4,3,1,0,2,0,1,2
on,ADP,0,2,4,0,0,0,1,0,0
hat,NOUN,0,0,1,0,0,0,0,0,1
came,VERB,0,2,1,2,0,1,0,2,0
in,ADV,0,1,1,0,0,1,0,1,0
flower,NOUN,0,0,1,0,0,0,0,0,0
table,NOUN,0,1,3,0,0,0,0,0,0
arranged,VERB,0,0,1,0,0,0,0,0,0
lunch,NOUN,0,0,1,0,0,0,0,0,0
without,ADP,0,0,1,0,0,0,0,0,0
noticing,NOUN,0,0,1,0,0,0,0,0,0
went,VERB,2,1,3,3,0,1,1,2,0
over,ADV,0,0,1,0,0,0,0,0,0
say,VERB,0,0,1,0,0,0,0,2,2
hi,NOUN,0,0,1,0,0,0,0,0,0
started,VERB,2,0,1,5,0,0,0,0,0
seeing,VERB,0,0,1,0,0,0,0,0,0
looked,VERB,0,0,1,0,0,0,0,0,0
different,ADJ,1,0,1,0,0,0,0,0,0
had,VERB,0,1,1,1,0,0,0,0,0
big,ADJ,1,4,2,1,0,0,2,0,0
eyes,NOUN,0,0,1,0,0,0,0,0,0
ears,NOUN,0,2,1,0,0,0,1,0,0
jumped,VERB,2,0,1,0,0,0,0,0,0
out,ADP,3,2,1,1,0,2,0,2,0
dressed,VERB,2,0,1,0,0,0,0,0,0
nightgown,NOUN,0,0,1,0,0,0,0,0,0
scared,VERB,0,0,1,0,0,0,2,1,0
knocked,VERB,0,0,1,1,0,0,1,0,0
over,ADP,0,0,1,0,0,0,0,0,0
with,ADP,4,1,3,2,0,4,0,3,2
food,NOUN,2,0,1,0,0,0,0,1,3
tried,VERB,1,0,1,0,0,0,0,0,1
run,VERB,0,0,1,1,0,0,0,0,0
away,ADV,0,0,2,1,0,0,0,0,0
lay,VERB,0,0,1,0,0,0,0,0,0
down,ADV,0,0,1,1,0,0,0,1,0
tired,VERB,0,0,1,0,0,0,0,0,0
after,SCONJ,0,0,1,0,0,0,0,1,0
eating,VERB,0,0,1,0,0,0,0,0,0
much,ADV,0,0,1,0,0,0,0,0,0
quietly,ADV,0,0,1,0,0,0,0,0,0
dog,NOUN,0,0,1,2,0,1,0,0,0
gun,NOUN,0,0,1,0,0,1,0,1,0
saved,VERB,0,0,1,0,0,1,0,0,0
day,NOUN,1,0,1,1,0,0,0,0,0
killed,VERB,0,0,1,0,0,0,0,0,0
able,ADJ,0,0,1,0,0,0,0,1,0
rescue,VERB,1,0,1,0,0,0,0,0,0
by,SCONJ,0,0,1,0,0,0,0,0,0
cutting,VERB,0,0,1,0,0,0,0,0,0
open,ADJ,1,0,1,0,0,0,0,0,0
stomach,NOUN,0,3,2,0,0,1,0,3,2
Red,NOUN,0,0,1,0,0,0,0,0,0
Riding,NOUN,0,0,1,0,0,1,0,0,0
