durmiendo,VERB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dio,VERB,1,0,1,0,1,0,2,1,0,1,0,1,1,0,3,1,2,1,3,0,1,1
sed,NOUN,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
pozo,NOUN,2,0,0,1,0,1,1,1,0,3,0,0,1,0,1,2,0,1,1,1,1,1
como,ADV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
traía,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piedras,NOUN,1,2,1,2,0,1,1,0,1,1,0,1,1,0,1,1,1,1,2,0,2,1
muy,ADV,1,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
pesado,ADJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
todos,PRON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
vivieron,VERB,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
felices,ADJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
siempre,ADV,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
niña,NOUN,0,1,3,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,2
vivía,VERB,0,1,0,1,0,0,1,0,0,1,0,3,0,0,0,0,1,1,1,1,0,1
bosque,NOUN,0,1,1,1,1,0,2,0,1,1,0,2,0,0,0,0,1,2,1,1,0,1
abuelita,NOUN,0,7,10,9,9,3,15,5,8,3,0,7,6,0,7,2,9,8,6,0,6,0
ella,PRON,0,1,0,1,0,1,1,0,0,0,0,1,1,0,2,0,2,0,1,1,0,0
gustaba,VERB,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0
hacer,VERB,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
pasteles,NOUN,0,1,0,0,0,0,1,2,1,1,0,1,0,0,1,1,1,1,0,1,0,1
dijo,VERB,0,3,1,0,0,0,0,3,0,0,0,0,1,0,1,3,0,0,0,1,0,0
llevara,VERB,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0
comida,NOUN,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
quería,VERB,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,2,0
comer,VERB,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,1
también,ADV,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
leñador,NOUN,0,2,0,4,0,1,1,1,6,0,0,2,3,0,2,1,0,0,0,1,1,0
escondió,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llegar,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
más,ADV,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rápido,ADJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atrapó,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
