red,ADJ,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,7,0,0,0,1,1,0,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,4,1,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cape,NOUN,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
from,ADP,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,2,0,4,0,0,3,3,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
her,PRON,7,14,0,7,14,6,4,4,8,22,3,4,6,3,6,11,5,9,0,5,6,0,6,7,6,0,8,7,11,13,0,22,6,3,8,8,5,13,17,0,0,12,11,7,9,3,0,12,2,8,10,9,9,8,9,0,11,6,9,0,8,12,12,6,14,5,5,5,5,12,9,6,2,6,10,0,0,6,3,6,22,45,14,11,0,21,18,14,8,20,6,1,7,6,24,17,10,9,4,0,15,5,10,18,0,11,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grandmother,NOUN,8,11,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,4,3,0,7,0,0,0,11,4,0,3,0,0,0,12,1,0,0,0,4,3,0,0,0,8,0,8,0,0,0,2,0,0,5,0,0,5,0,5,3,1,11,0,0,9,1,4,0,0,0,0,7,18,23,2,4,0,6,12,0,10,27,1,0,5,0,2,15,2,10,0,0,0,0,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,AUX,3,2,0,2,0,0,1,0,7,2,4,0,2,0,0,0,0,0,0,0,0,14,0,0,8,0,2,2,1,0,0,5,0,6,1,0,0,1,0,1,0,11,0,4,0,0,0,0,0,0,10,5,4,1,0,0,0,1,12,0,0,5,1,0,1,2,5,0,0,0,10,13,0,3,4,0,0,0,0,1,6,5,0,0,0,0,3,1,2,0,1,0,4,0,6,0,1,1,0,0,1,1,3,2,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waving,VERB,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,ADP,2,8,0,6,4,2,2,4,3,11,6,5,2,3,1,4,2,7,0,10,1,0,7,3,9,0,2,1,2,3,0,8,4,3,6,4,3,5,9,0,0,6,5,5,6,4,0,3,0,3,4,0,4,2,4,0,5,4,1,0,7,1,7,1,8,6,0,1,2,6,3,6,4,5,5,0,0,2,1,5,6,10,2,6,0,6,6,2,6,4,3,4,0,5,4,8,4,3,6,0,3,3,3,6,1,5,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mother,NOUN,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,3,0,1,2,2,0,1,0,0,1,0,0,2,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
going,VERB,2,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,3,0,2,3,1,0,0,1,2,1,0,2,0,0,0,0,1,0,1,4,2,0,0,3,2,1,1,0,1,0,0,1,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
