when,ADV,1,2,0,1,2,1,1,2,0,4,2,0,0,2,0,1,0,0,0,6,0,0,1,3,8,0,3,0,0,5,0,0,1,0,0,0,0,6,1,0,0,0
jumped,VERB,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0
out,ADP,1,3,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,2,0,2,0,0,0,1,0,4,1,0,0,1
of,ADP,3,7,0,4,1,0,1,5,2,1,1,1,4,0,2,0,3,0,0,2,1,0,4,5,4,0,3,1,3,2,0,2,1,0,0,3,1,3,7,0,0,5
bed,NOUN,1,2,0,3,4,0,0,4,0,2,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,2,1,3,0,0,0,0,0,1,1,0,1,1,0,0,2
man,NOUN,4,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,9,0,0,0,2,0,0,0,0,0,5,0,5,4,0,0,0,0,0,1,0,3,0,0,0,0
came,VERB,2,2,0,2,2,1,2,0,0,0,2,0,2,3,0,4,2,3,0,0,2,0,1,2,0,0,0,1,0,3,0,1,2,0,1,1,0,2,0,0,0,0
his,PRON,2,2,0,3,2,0,0,1,3,5,2,0,2,3,2,0,4,0,0,1,1,0,3,1,1,0,4,0,1,0,0,4,0,2,0,0,0,1,1,0,0,2
dog,NOUN,1,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,4,0,0,1,2,4,0,2,0,0,2,0,1,0,0,3,0,3,0,0,0,0,0,0,0,4
in,ADV,1,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0
with,ADP,2,2,0,5,3,1,2,4,1,7,5,1,3,0,4,4,3,1,0,4,5,0,0,2,1,0,3,1,5,0,0,4,3,0,0,3,0,2,3,0,0,1
gun,NOUN,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freed,VERB,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helping,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocks,NOUN,2,1,0,0,3,2,3,1,0,1,0,1,2,1,2,1,2,1,0,3,1,0,2,1,1,0,2,2,2,1,0,2,2,2,0,2,1,1,4,0,0,2
stomach,NOUN,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,2,0,1,1,0,1,3,0,0,3,0,0,2,0,0,1
being,AUX,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laughed,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
at,ADP,1,0,0,0,1,0,2,0,1,2,3,0,2,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,4,0,0,1,0,2,2,0,0,0,0
he,PRON,1,12,0,4,9,12,2,2,0,27,3,2,0,7,0,14,5,5,0,7,0,0,7,3,14,0,3,10,1,4,0,14,0,7,5,3,1,16,16,0,0,13
struggling,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,PART,1,9,0,6,6,5,2,3,6,15,10,2,2,4,1,2,12,5,0,5,3,0,4,1,9,0,3,3,9,6,0,9,0,3,3,9,3,13,12,0,0,9
walk,VERB,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belly,NOUN,1,0,0,2,4,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0
full,ADJ,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0
waved,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
goodbye,NOUN,1,0,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,2,0,1,2,0,2,3,3,0,1,1,0,2,0,0,2
okay,INTJ,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,1,0,0,0,1,0,1,0,0,0,12,0,1,0,0,0,1,1,1,3
so,ADV,0,9,0,10,2,7,1,1,1,5,0,0,0,0,0,0,0,2,0,7,0,0,0,0,6,0,4,0,1,1,2,2,1,0,1,2,0,9,10,0,0,7
this,PRON,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
story,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little,ADJ,0,15,0,1,0,0,1,0,7,1,0,0,0,2,0,0,3,2,0,9,0,0,0,0,9,0,0,0,3,11,0,6,0,0,1,1,2,9,1,0,0,0
who,PRON,0,1,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0
went,VERB,0,6,0,4,2,2,3,0,0,8,3,1,2,0,1,0,1,1,0,10,3,0,6,1,1,0,1,0,0,5,0,3,1,0,1,7,1,5,4,0,0,0
give,VERB,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1
a,PART,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food,NOUN,0,5,0,2,2,0,1,0,0,0,2,0,0,2,2,1,2,0,0,3,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,4,0,4,2,0,0,0
one,NUM,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1
morning,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
