está,VERB,2,1,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2,1,1,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
al,ADP,2,0,4,0,0,0,3,3,2,0,0,1,1,6,0,1,1,0,1,0,1,1,3,1,0,1,0,0,2,1,0,3,2,3,2,4,1,2,0,1,1,0,6,2,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,4,3,5,2,1,2,5,1,3,2,1,1,0,1,2,1,1,4,2,3,5,2,1,2,1,3,1,4,7,5,2,2,4,5,5,3,4,2,3,4,0
una,DET,1,2,4,1,3,0,0,1,0,0,5,3,2,2,0,0,2,6,0,7,3,4,1,2,0,0,2,0,1,3,0,1,2,2,0,1,2,1,0,0,4,0,6,0,4,1,1,0,0,7,3,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,2,4,2,0,4,4,5,2,4,0,0,0,6,3,1,2,1,2,1,4,2,2,0,3,7,0,4,7,8,7,1,5,6,4,2,2,3,3,4,7
casa,NOUN,2,6,2,5,3,3,1,5,3,1,5,2,4,9,2,1,1,5,3,4,2,4,1,2,2,5,2,0,4,1,1,3,4,6,7,1,3,2,3,1,3,3,8,3,7,5,1,3,2,2,5,0,7,0,1,4,0,4,4,0,1,4,0,5,2,2,1,1,1,3,1,4,0,3,3,2,1,0,2,4,1,3,1,0,1,2,3,4,4,3,3,5,7,5,2,4,4,3,4,5,2,5,3,4,9,1
muchacha,NOUN,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trajo,ADJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galletas,NOUN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,2,2,2,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,2,0,1
y,CCONJ,7,16,24,10,11,7,14,15,14,13,14,48,21,20,3,35,12,34,21,26,19,11,12,26,5,15,22,1,12,20,13,24,16,49,18,8,20,22,18,16,26,13,43,9,38,7,18,11,7,22,37,0,19,0,13,6,0,23,19,13,3,41,0,34,17,20,15,20,5,9,16,15,17,16,13,13,16,0,25,18,18,16,19,24,10,8,13,19,19,13,18,16,11,19,24,15,16,23,18,11,13,16,12,10,10,6
flores,NOUN,1,2,1,0,0,0,2,0,2,1,0,0,2,3,1,2,0,3,2,1,2,1,2,1,0,1,1,0,2,2,0,0,2,6,0,1,2,1,0,0,3,1,2,1,2,1,0,1,0,1,2,0,2,0,2,0,0,0,2,2,0,3,0,0,1,3,1,2,3,2,2,1,1,2,1,2,2,0,0,3,1,2,2,1,2,1,1,2,3,2,2,2,2,2,1,2,3,2,2,2,1,4,2,2,3,2
en,ADP,1,6,1,4,5,1,3,3,0,4,1,3,3,3,0,1,0,8,1,4,0,1,4,7,1,6,4,0,1,7,1,2,3,7,5,4,3,2,3,4,2,3,15,4,9,3,1,4,0,4,10,0,6,0,5,11,0,6,5,1,2,2,0,0,2,2,1,3,4,2,1,4,1,3,4,4,3,0,4,2,4,4,5,2,4,1,4,6,7,5,9,3,3,10,6,8,3,4,5,6,6,7,5,6,8,6
cama,NOUN,1,2,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,3,1,0,1,0,0,0,1,4,1,0,1,1,2,2,1,1,5,3,4,0,2,1,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,1,1,1,1,0,0,1,0,1,2,1,2,0,2,3,5,3,3,3,0,1,4,0,6,2,2,2,0
ver,VERB,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,2,2,0,0,1,1,1,0,0,0,1,1
RES,PROPN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esta,AUX,1,0,0,0,0,0,0,0,0,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
