frutas,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
poco,PRON,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
agua,NOUN,0,2,1,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0
iba,AUX,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
caminando,VERB,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
bosque,NOUN,0,1,2,0,2,1,1,5,4,3,1,2,0,4,1,6,4,0,5,0
la,PRON,0,2,0,4,2,2,2,3,0,3,1,2,7,2,1,3,0,5,1,3
acechaba,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuidaba,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronto,ADV,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0
adelantó,VERB,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
detuvo,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recoger,VERB,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
entró,VERB,0,1,2,1,1,0,2,0,0,1,2,1,0,0,0,2,0,0,1,1
trató,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comérsela,VERB,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
eso,PRON,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
llegó,VERB,0,2,2,2,4,1,1,3,3,3,3,2,1,3,1,1,2,3,2,0
sin,ADP,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,1,1,0
darse,VERB,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
sino,CCONJ,0,2,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0
puso,VERB,0,1,2,1,1,0,1,0,1,1,1,1,0,0,2,0,0,0,0,0
actuaba,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raro,ADJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tal,ADJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vez,NOUN,0,1,0,1,2,0,0,1,2,2,0,1,1,2,0,0,0,0,0,3
enferma,ADJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
descubierto,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saltó,VERB,0,1,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0
asustó,VERB,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
hasta,ADP,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
perseguirla,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comió,VERB,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1
después,ADV,0,3,1,0,0,1,1,1,2,0,0,1,1,1,0,1,2,0,8,0
arma,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
realmente,ADV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
todo,PRON,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
había,AUX,0,2,1,2,0,0,5,0,2,3,0,4,0,2,4,4,0,2,4,0
sido,AUX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
así,ADV,0,2,0,0,0,1,0,0,0,4,0,0,1,0,2,0,0,1,0,1
hecho,VERB,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
trampa,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cortó,VERB,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0
panza,NOUN,0,2,2,0,1,4,2,5,3,3,0,0,0,0,0,3,0,0,0,1
allí,ADV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rellenaron,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosió,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
