proud,ADJ,0,1,0,0,0,0,0,0,0,0,0,0
how,ADV,0,2,0,0,0,0,0,1,0,3,0,0
cute,ADJ,0,1,0,0,0,0,0,0,0,0,0,0
granddaughter,NOUN,0,1,0,0,0,0,0,0,0,0,0,0
constantly,ADV,0,1,0,0,0,0,0,0,0,0,0,0
exclaimed,VERB,0,1,0,0,0,0,0,0,0,0,0,0
surprise,NOUN,0,2,0,0,0,0,0,0,0,0,0,0
then,ADV,0,2,2,2,0,0,2,0,6,5,1,2
outside,ADV,0,1,0,0,0,0,0,0,0,0,0,0
show,VERB,0,2,0,0,0,0,0,0,0,1,0,0
off,ADP,0,1,0,2,0,0,0,0,0,2,0,0
nature,NOUN,0,2,0,0,0,0,0,0,0,0,0,0
friends,NOUN,0,2,0,0,0,0,0,0,0,0,0,0
addition,NOUN,0,1,0,0,0,0,0,0,0,0,0,0
those,DET,0,8,0,0,0,0,0,1,0,0,0,0
admiring,VERB,0,1,0,0,0,0,0,0,0,0,0,0
window,NOUN,0,1,0,0,0,0,0,0,0,0,0,0
picnic,NOUN,0,3,0,1,0,0,0,0,0,0,0,0
full,ADJ,0,1,1,0,0,0,1,0,1,4,0,2
goodies,NOUN,0,1,0,0,0,2,0,1,0,1,0,1
including,VERB,0,3,0,0,0,0,0,0,0,1,0,0
bottle,NOUN,0,3,0,0,0,0,0,0,0,0,0,0
too,ADV,0,6,0,0,0,0,1,0,0,0,0,0
young,ADJ,0,3,0,0,0,0,0,0,0,1,0,0
stopper,NOUN,0,1,0,0,0,0,0,0,0,0,0,0
expire,VERB,0,1,0,0,0,0,0,0,0,0,0,0
thirst,PROPN,0,1,0,0,0,0,0,0,0,0,0,0
waved,VERB,0,3,0,2,0,0,1,0,1,1,2,0
infirm,ADJ,0,1,0,0,0,0,0,0,0,0,0,0
always,ADV,0,1,0,0,0,0,0,0,0,0,0,0
bird,NOUN,0,1,0,0,0,0,0,0,0,0,1,0
observed,VERB,0,3,0,0,0,0,0,0,0,0,0,0
farewell,NOUN,0,4,0,0,0,0,0,0,0,0,0,0
lovely,ADJ,0,2,0,0,0,0,0,0,0,0,0,0
