dog,NOUN,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,1
came,VERB,3,0,5,0,0,1,0,1,0,0,0,2,2,3,2,0,2,4,3,0,0,2,0,1,0,0,2,1,0
in,ADV,1,0,0,1,0,0,1,0,0,2,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
gun,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
are,AUX,2,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0
about,ADV,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut,VERB,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,1,2,1,0,1,0,2,0,0,0,1,1
open,ADJ,1,0,1,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
got,VERB,2,1,2,2,0,0,3,1,0,0,0,1,3,0,1,0,2,2,0,2,0,0,0,1,0,0,0,1,0
he,PRON,1,4,11,8,0,1,7,0,0,6,11,2,19,1,1,0,2,6,2,4,18,1,0,8,0,0,1,1,0
back,ADV,2,1,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,3,1,5,2,0,0,0,0,0
she,PRON,1,6,1,7,0,5,6,3,0,16,12,10,11,2,3,2,1,1,6,10,7,0,0,6,0,0,6,0,1
coal,NOUN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocks,NOUN,1,1,3,3,0,1,2,0,0,1,1,1,2,1,3,1,3,2,2,1,2,2,0,0,0,0,1,2,3
or,CCONJ,1,0,1,0,0,0,1,0,0,0,0,0,5,1,0,1,1,2,1,8,2,0,0,0,0,0,0,0,0
something,PRON,1,0,1,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0
